title,description,content,source,published_at,label,text_combined
"The Hockey Diversity Alliance turns 5: Challenges, triumphs, what's next","Open Extended Reactions

FIVE YEARS AGO, the Hockey Diversity Alliance was a group chat among several NHL players of color, discussing civil rights issues and the obstacles that have prevented equalit...","Open Extended Reactions

FIVE YEARS AGO, the Hockey Diversity Alliance was a group chat among several NHL players of color, discussing civil rights issues and the obstacles that have prevented equalit...",CurrentsAPI,2025-08-16 13:11:33+00:00,1,"The Hockey Diversity Alliance turns 5: Challenges, triumphs, what's next Open Extended Reactions

FIVE YEARS AGO, the Hockey Diversity Alliance was a group chat among several NHL players of color, discussing civil rights issues and the obstacles that have prevented equalit..."
"Xi Jinping assured China won't invade Taiwan till I'm President, says Trump","Trump made the comments in an interview with Fox News, ahead of talks with Russian President Vladimir Putin over Moscow's invasion of Ukraine.","Trump made the comments in an interview with Fox News, ahead of talks with Russian President Vladimir Putin over Moscow's invasion of Ukraine.",CurrentsAPI,2025-08-16 13:09:17+00:00,1,"Xi Jinping assured China won't invade Taiwan till I'm President, says Trump Trump made the comments in an interview with Fox News, ahead of talks with Russian President Vladimir Putin over Moscow's invasion of Ukraine."
The telling moment Meghan Markle 'quietly took control' laid bare by body language expert,Harry and Meghan went to Dublin in June 2018...,Harry and Meghan went to Dublin in June 2018...,CurrentsAPI,2025-08-16 13:07:00+00:00,1,The telling moment Meghan Markle 'quietly took control' laid bare by body language expert Harry and Meghan went to Dublin in June 2018...
Major motorway closed as multi-vehicle crash sparks long delays,Traffic on the M6...,Traffic on the M6...,CurrentsAPI,2025-08-16 13:05:00+00:00,1,Major motorway closed as multi-vehicle crash sparks long delays Traffic on the M6...
Canada Border Services Agency and Royal Canadian Mounted Police win Bank of Canada counterfeit deterrence award,The Bank of Canada is pleased to announce the recipients of its 2025 Law Enforcement Award of Excellence for Counterfeit Deterrence.,The Bank of Canada is pleased to announce the recipients of its 2025 Law Enforcement Award of Excellence for Counterfeit Deterrence.,CurrentsAPI,2025-08-16 13:01:24+00:00,1,Canada Border Services Agency and Royal Canadian Mounted Police win Bank of Canada counterfeit deterrence award The Bank of Canada is pleased to announce the recipients of its 2025 Law Enforcement Award of Excellence for Counterfeit Deterrence.
"Transfer rumors, news: Eze keen on Spurs move, amid Arsenal links","Gab & Juls debate whether Eberechi Eze will be a good fit for Tottenham or Arsenal. (1:32)

Open Extended Reactions

Tottenham Hotspur could find themself front of the queue to land Crystal Palace mid...","Gab & Juls debate whether Eberechi Eze will be a good fit for Tottenham or Arsenal. (1:32)

Open Extended Reactions

Tottenham Hotspur could find themself front of the queue to land Crystal Palace mid...",CurrentsAPI,2025-08-16 13:00:06+00:00,1,"Transfer rumors, news: Eze keen on Spurs move, amid Arsenal links Gab & Juls debate whether Eberechi Eze will be a good fit for Tottenham or Arsenal. (1:32)

Open Extended Reactions

Tottenham Hotspur could find themself front of the queue to land Crystal Palace mid..."
Fraudsters turn to TikTok and AI as scams hit Malaysia’s youth hardest,"KUALA LUMPUR, Aug 16 — Fraud syndicates in Malaysia are exploiting social media and artificial intelligence (AI) to deploy sophisticated scams that blend child sexual exploitation, extortion and illegal content sales, with teenagers as their primary victims.Malaysian Cyber Consumers Association (MCC...","KUALA LUMPUR, Aug 16 — Fraud syndicates in Malaysia are exploiting social media and artificial intelligence (AI) to deploy sophisticated scams that blend child sexual exploitation, extortion and illegal content sales, with teenagers as their primary victims.Malaysian Cyber Consumers Association (MCC...",CurrentsAPI,2025-08-16 13:00:00+00:00,1,"Fraudsters turn to TikTok and AI as scams hit Malaysia’s youth hardest KUALA LUMPUR, Aug 16 — Fraud syndicates in Malaysia are exploiting social media and artificial intelligence (AI) to deploy sophisticated scams that blend child sexual exploitation, extortion and illegal content sales, with teenagers as their primary victims.Malaysian Cyber Consumers Association (MCC..."
Premier League updates: Villa struggle in first half vs. Newcastle,"Open Extended Reactions

After Liverpool's emotional win over Bournemouth on Friday night, the first Saturday game of the 2025-26 Premier League season features Aston Villa against Newcastle United. B...","Open Extended Reactions

After Liverpool's emotional win over Bournemouth on Friday night, the first Saturday game of the 2025-26 Premier League season features Aston Villa against Newcastle United. B...",CurrentsAPI,2025-08-16 12:59:52+00:00,1,"Premier League updates: Villa struggle in first half vs. Newcastle Open Extended Reactions

After Liverpool's emotional win over Bournemouth on Friday night, the first Saturday game of the 2025-26 Premier League season features Aston Villa against Newcastle United. B..."
Protesters confront officers patrolling DC streets after Trump policing takeover,"The federal takeover of policing in Washington D.C. sparked protests near Union Station Thursday night,with demonstrators calling police and National Guard officers ""Nazis.""""You guys safe over here? You guys safe? Are you guys being murdered?"" one protester was heard sarcastically asking officers. O...","The federal takeover of policing in Washington D.C. sparked protests near Union Station Thursday night,with demonstrators calling police and National Guard officers ""Nazis.""""You guys safe over here? You guys safe? Are you guys being murdered?"" one protester was heard sarcastically asking officers. O...",CurrentsAPI,2025-08-16 12:59:22+00:00,1,"Protesters confront officers patrolling DC streets after Trump policing takeover The federal takeover of policing in Washington D.C. sparked protests near Union Station Thursday night,with demonstrators calling police and National Guard officers ""Nazis.""""You guys safe over here? You guys safe? Are you guys being murdered?"" one protester was heard sarcastically asking officers. O..."
Donald Trump's 'glaring' impression of Vladimir Putin uncovered by eye gesture,"Donald Trump's ""glaring"" true feelings were uncovered by his eye gesture...","Donald Trump's ""glaring"" true feelings were uncovered by his eye gesture...",CurrentsAPI,2025-08-16 12:51:00+00:00,1,"Donald Trump's 'glaring' impression of Vladimir Putin uncovered by eye gesture Donald Trump's ""glaring"" true feelings were uncovered by his eye gesture..."
